PN,DESIGNATION,UR,QTE,SUPPORT
200-30,IGNITION LEADS,EA,4,AS202
200-33,IGNITION LEADS,EA,8,AS202
202-18.722.12,FLEXIBLE HOSE,EA,17,AS202
202-18.322,COVER VALVE,EA,5,AS202
202-18.320.43,PLATE JUNCTION,EA,2,AS202
202-18.320.41,ANGLE BRACKET LH,EA,1,AS202
202-18.320.42,ANGLE BRACKET RH,EA,1,AS202
199-46,KIT HARDWARE,EA,1,AS202
6246-00216,AMMETER,EA,0,AS202
SK202-2011,MODIFICATION,EA,4,AS202
06E19769-1.00,GASKET,EA,100,AS202
MS20392-2C41,PIN,EA,100,AS202
GE1976,BULB,EA,7,AS202
202-19-026,BUSHING,EA,4,AS202
GE-330,BULB,EA,2,AS202
LW-10077,SEAT VALVE SPRING UPPER,EA,2,AS202
NR51287,MASSE KABEL,FT,2,AS202
STD-1872,INSERT HELI-COIL TAPER P>,EA,8,AS202
6246-00217,CYLINDER HEAD T? INDIC,EA,4,AS202
MS25041-2,PRESS TO TEST INDICATOR,EA,6,AS202
10-391411,BLOCK DISTRIBUTOR,EA,10,AS202
MS20664C2,"BALL END, WIRE ROPE",EA,38,AS202
202-18.862.11,PLATE RESISTOR,EA,18,AS202
202-18.862-11,PLATINE,EA,3,AS202
21682,MOUNT SHOCK,EA,3,AS202
202-18-300P1,JUMPER L 100,EA,8,AS202
MBG-2012S,BRUSH SET,EA,0,AS202
75025-0009,DIODE,EA,4,AS202
74637,BUSHING VALVE ROCKER EXH>,EA,9,AS202
75609-0001,TRANSISTOR,EA,3,AS202
77907,SPACER 33/64X7/8X3 IN,EA,2,AS202
LW-13323,SEAT VALVE SPRING LOWER,EA,4,AS202
LW-14910,COUPLING,EA,4,AS202
202-18-972A,RELAY,EA,0,AS202
202-11.330.11,BRAKET,EA,10,AS202
202-18.859.12,GROUND CONNECTION TRUNK CABLE,EA,1,AS202
202-11-326-19A,STIRRUP,EA,2,AS202
202-11.022.16,LOCK NUT,EA,10,AS202
MS21260S5LH,TERMINAL WIRE,EA,36,AS202
202-18.650.24,EL BOW,EA,10,AS202
MS21260S4LH,TERMINAL WIRE,EA,21,AS202
74151,NOZZLE INJECTION,EA,9,AS202
8140-12,SOCKET,EA,2,AS202
202-11-357-14,SPRING,EA,2,AS202
TYPE55JOINTBALL&S,TYPE 55 JOINT BALL&SOCKET,EA,0,AS202
SA.202-19108-11,FLANGE,EA,4,AS202
A515,PERSSURE RELIEF INDICATOR,N,32,AS202
LW-19296,GASKET,EA,8,AS202
202-15.666.17,RUBBER BAND,EA,2,AS202
202-15 052 15,HING JOINT,EA,3,AS202
20TC2-AC15,CIRCUIT BREAKER,EA,10,AS202
20TC2-AC-15,CIRCUIT BREAKER,EA,2,AS202
MS-13998-3,CAP VALVE STEM EXHAUST,EA,10,AS202
MS-13997-3,KEY VALVE EXHAUST,EA,34,AS202
RMBNR-714,BALL BEARING,EA,4,AS202
202-16.119.13,SPACER,EA,3,AS202
202-16-620.11,BELL RANK,EA,8,AS202
202-18.691.19,FILTER,EA,14,AS202
3060-00018,OIL PRESSURE TRANSSMITTER,EA,0,AS202
6246-00181,OIL PRESSURE INDIC,EA,4,AS202
SAZ 4201E,RELAY STARTER 12V,EA,1,AS202
82889-0004,SET SCREW HEX SOCKET,EA,30,AS202
65441,SEAT VALVE ENGINE POP,EA,3,AS202
ALE-1013AS,BRUSH SET ELECTRICAL,EA,9,AS202
90-2014,SRE BEARING,EA,7,AS202
081-00200,"SEAT, BLEEDER",EA,9,AS202
SK202-1445,BATTERY HOLDER,EA,1,AS202
SL2048,ANNIET  ISOLAT,EA,46,AS202
88204-0001,KNOB MHZ,EA,4,AS202
200-42,IGNITION LEADS,EA,4,AS202
77852,OIL FILTER BASE ASSY,EA,1,AS202
202-18-295.16,FLAP POSITION TRANS,EA,20,AS202
PN1512,BULB,EA,18,AS202
202-16.153,BUSHING,EA,2,AS202
202-15.052.31,U-SHAPE,N,1,AS202
73938,VALVE INTAKE,EA,1,AS202
PN1524,BULB 24V,EA,2,AS202
SA.202-18112-07,SECTION  PIPE,EA,4,AS202
202-16.610.12,FORK HEAD,EA,1,AS202
FST034-3424,FUSE 5A,EA,8,AS202
202-11.020-13,EXHAUST BRAEKET,EA,6,AS202
202-11.356.12,ROLLS PULLEY,N,11,AS202
LW-12892,"THRUST,BUTTON,ROCKER SHAF",EA,12,AS202
202-11.148,RAIL SEAT,EA,5,AS202
TM2S6,MOUNTING BASE TIE DO,EA,148,AS202
70484,OIL SECTION HOLE,EA,2,AS202
202-11.020.19,RING,EA,5,AS202
202-11.329.13,PIECE RUBBER STRIP,EA,5,AS202
202-16.171.12,GRUB SCREW,EA,13,AS202
202-16.204,CONTROL LINKAGE,EA,2,AS202
202-16.306.16,CABLE,EA,4,AS202
202-18.001.12,BUSHING,EA,20,AS202
442.828,INDICATOR,EA,0,AS202
LW-12098-0-140,TUBE ASSY,EA,2,AS202
LW-12098-0-210,TUBE ASSY,EA,2,AS202
202-18-259.12,GLASS PROTECTIVE,EA,1,AS202
202-11.367.15,PULLEY,EA,6,AS202
202-11.355.13,PULLEY RULL,EA,16,AS202
68759,TUBE ASSY,EA,1,AS202
88207-0001,KNOB VOL ON OFF IDENT,EA,14,AS202
88203-0001,KNOB OBS KHZ,EA,2,AS202
202-11.334.12,PIECE RUBBER STRIP,EA,6,AS202
MLDCR1/3N,BATTERY  NON  RECHARGEABLE,EA,20,AS202
202-18.010.14,NUT,EA,4,AS202
MS20667-5,TERMINAL WIRE,EA,33,AS202
10110 M,SCREW VIBREX,EA,32,AS202
0813526,HANDLE,EA,1,AS202
31-S-094-0750,"PIN,SPRING",EA,76,AS202
SS12ET31-102L3,TAGLE SWITCH,EA,1,AS202
202-18.520.12,GLAMPING RING,EA,5,AS202
116D-3,TEMP SENSOR,EA,4,AS202
202-16.620,BELL CRANK ASSY,EA,1,AS202
202-18.520.23,PIN HOUSING ASSY,EA,9,AS202
103-11600,BOLT,EA,0,AS202
202-18.259.11,HOUSING INSTRUMENT,EA,5,AS202
202-16.103-14,CABLE LH,EA,2,AS202
MS28741-3-0153,HOSE,EA,0,AS202
W-1285 PR-14,NAVIGATION LIGHT LH,EA,1,AS202
15F19957-36,ROD ASSY,EA,2,AS202
10-349367,COUPLING,EA,2,AS202
LW-10076,SEAT VALVE SPRING UPPER,EA,7,AS202
A-4555A-12,INSTRUMENT LIGHTING,EA,4,AS202
202-16.318,END.FORK,EA,1,AS202
10-382585,CONTACT ASSY RH,EA,29,AS202
AMP1-480283-0,HOUSSING SOCKET,EA,8,AS202
8140-49,SOCKET HOUSING,EA,5,AS202
202-16.306-17,CABLE,EA,1,AS202
25C-9,STUD,EA,3,AS202
202-18.648.11,BRACKET ANGLE,EA,2,AS202
LW-13755,BREATHER TEE ASSY,EA,4,AS202
202-11-326-15A,STIRRUP,EA,2,AS202
B-2480,FILLER PLATE,EA,0,AS202
202-12.202.23,LEVER,EA,2,AS202
69116,GAGE ASSEMBLY,EA,1,AS202
32059-0004,RESISTOR,EA,3,AS202
17F19353,ROCKER ASSY VALVE INTAKE,EA,4,AS202
88214-0001,KNOB LARGE,EA,11,AS202
88215-0001,KNOB SMALL,EA,6,AS202
ART GCNW6-400,HOSE,EA,4,AS202
202-18.700.18,PIECE CONNECTING,EA,14,AS202
202-18.520.11,MOUNTING RING,EA,2,AS202
AMP1-480319-0,HOUSING PIN,EA,100,AS202
68760,TUBE ASSY,EA,4,AS202
202-15.663.15,RUBBER BAND,EA,3,AS202
202-18.460.11,TUBE OUTLET LH,EA,8,AS202
202-11.350.13,"CHANNEL,GUIDE BAR,LH",EA,4,AS202
202-18.460.24,WIRE,EA,2,AS202
73964,TUBE ASSY FUEL MANIFOLD,EA,3,AS202
202-18.970,BATTERY RELAY,EA,1,AS202
68517,SPRING SHOUD TUBE,EA,11,AS202
202-16.107.11,CABLE,EA,7,AS202
A2138-R-24,NAVIGATION LIGHT LH,EA,0,AS202
X17621,RELAY OVER VOLTAGE,EA,1,AS202
KB-4E-SSFN,BEARING,EA,2,AS202
SAZ-4401C,STARTER RELAY,EA,1,AS202
12000-0014,"LAMP MARKER 5V 0,115",EA,15,AS202
12000-0027,LAMP 14V,EA,19,AS202
12009-0001,SOCKET LAMP,EA,15,AS202
202-18.450.27,OULET.AIR LH,EA,1,AS202
202-18.325,PARKING BRAKE VALVE,EA,3,AS202
202-11-021-13,EXHAUT BRAKET,EA,3,AS202
202-18.030.14,TUBE EXIT RH,EA,2,AS202
202-15.664.12,REINFORCEMENT,EA,1,AS202
69603,HOSE,EA,15,AS202
ALU-1045BS,"BRUSH, HOLDER AND SPRING A",EA,0,AS202
202-19.215,BUSHING,EA,7,AS202
NR694,BELLOWS,EA,5,AS202
70310,SEAL SHROUD TUBE,EA,3,AS202
72058,SEAT VALVE EXHAUST,EA,4,AS202
72057,SEAT VALVE INTAKE,EA,4,AS202
200-24,IGNITION LEADS,EA,4,AS202
200-27,IGNITION LEADS,EA,4,AS202
200-36,IGNITION LEADS,EA,3,AS202
200-39,IGNITION LEADS,EA,4,AS202
202-16.610.11,FORK HEAD,EA,1,AS202
AMP 1-480319-0,"HOUSSING, PIN",EA,2,AS202
202-18.030.13,HOSE,EA,1,AS202
9520448,PLUG MACHINE THREAD,EA,18,AS202
8896K1 NAF,"HANDLE,CONTROL COLUMN ASY",EA,1,AS202
202-19.223,BUSHING,EA,0,AS202
202-18-864,VOLTAGE REGULATOR,EA,4,AS202
202-18.100.17,HOSE,EA,1,AS202
SCHOGU 2700,HARNESS,EA,6,AS202
202-18.460.19,THERMO TUBE,EA,10,AS202
202-15-076,TUBE,EA,16,AS202
202-15.640.10,"EXHAUST,MUFFLER",EA,3,AS202
202-15.023.20,JACKET,EA,0,AS202
202-19.607,"ROD,GUIDE,ASSY",EA,8,AS202
202-15.028,PIPE,EA,2,AS202
202-19.614,ROCHER ARM RH,EA,0,AS202
06-16955,LINING,EA,36,AS202
066-03000,LINING,EA,0,AS202
202-13.238,RIB REAR STA,EA,1,AS202
03718-0303,AUDIO PANEL TYPE CP,EA,1,AS202
SA.202-19020-01,DISC RUBBER,EA,14,AS202
202-15.625,EXHAUST PIPE,EA,4,AS202
202-11-371,"STRIP, COVER",EA,4,AS202
GE4591,BULB F.28V 100W,EA,12,AS202
202-19.630,DISC RUBBER,EA,0,AS202
202-15.668.11,PLATE,EA,3,AS202
SA202-19011-11G,,EA,0,AS202
202-19.202,DAMPER NOSE GEAR,EA,20,AS202
NEOPREN 5425,"CHANNEL,RUBBER 2,0M",M,18,AS202
202-18.460.25,BOWDEN CONTROL CABLE,EA,0,AS202
202-18-460.25,"BOWDEN,CONTROL CABLE",EA,4,AS202
KA17,ADE SENSE,EA,1,AS202
202-15.653.14,AIR INTAKE,EA,4,AS202
202-19.613,ROCHER ARM LH,EA,0,AS202
75246,FUEL PUMP,EA,4,AS202
164R,STALL WARNING,EA,2,AS202
202-15.153,HOSE,EA,5,AS202
202-18.018.12,FUEL LEVEL SENSOR OUTER RH,EA,0,AS202
F7666A-2,BLADE,EA,3,AS202
ALE-1012NS,BRUSH SET ALTERNATOR,EA,7,AS202
S2334-3,THERMOCOUPLE,EA,0,AS202
A2064-12,NAVIGATION LIGHT,EA,7,AS202
AN 5812,PITOT TUBE 12 VOLTS,EA,1,AS202
202-18.090.17H,HOSE TUBE,EA,2,AS202
2716,OUT SIDE T?,EA,6,AS202
D43143-1-6,CABLE CONTROL,EA,0,AS202
202-19.617,HOUSING LH,EA,1,AS202
61247,COVER ROCKER BOX,EA,10,AS202
1654062-3,TANK,EA,1,AS202
202-15.091.16,ANGLE,EA,2,AS202
202-19.631,DAMPER DISC RUBBER,EA,0,AS202
202-15.663,COOLING BAFFLE REAR RH AS,EA,1,AS202
202-18.017.13,FUEL LEVEL SENSOR ,EA,1,AS202
202-18.017.13,FUEL LEVEL SENSOR INER LH,EA,1,AS202
202-19.647,"CAP, HUB",EA,4,AS202
9541458,HOUSING BRAKE,EA,5,AS202
A-2138-G-12,NAVIGATION LIGHT RH,EA,2,AS202
BOGU 1303,HARNESS,EA,5,AS202
202-15.663.11E,COOLING,EA,1,AS202
74324,"BRAKET,ALTERNATOR",EA,3,AS202
KIT N?25,KIT,EA,1,AS202
202-16.119,ELEVATOR DRIVE AFT ASSY,EA,4,AS202
202-15.040.11,HOSE,EA,27,AS202
202-18-251.32,BRACKET INSTRUMENT,EA,0,AS202
202-18.017.12,FUEL LEVEL SENSOR INNER RH,EA,3,AS202
202-18.018.13,FUEL LEVEL SENSOR OUTER LH,EA,1,AS202
202-15.053.29,ANGLE,EA,2,AS202
202-15.708,COOLING BAFFLE,EA,3,AS202
202-15.706,COOLING BAFFLE,EA,0,AS202
202-18.421,BOX,EA,2,AS202
202-18.460.17,THERMO TUBE,EA,4,AS202
SA.202-13060-02,"TIP,WING RH",EA,2,AS202
202-18.460.18,THERMO TUBE,EA,0,AS202
202-18-460-18,THERMO-TUBE,EA,22,AS202
202-18.460.15,THERMO TUBE,EA,4,AS202
202-13-218.11,REAR SPAR,EA,1,AS202
SA 202-14031-27,SKIN PLATE,EA,1,AS202
202-11.046.1,PLATE FRAME,EA,0,AS202
202-14.441,"FLAP,ASSY LH",EA,0,AS202
444660,OIL PRESSURE GAUGE,EA,8,AS202
MS28741-4-0354,HOSE ASSY,EA,12,AS202
202-15.021.11,AIR FILTER,EA,10,AS202
MS28741-4-0353,HOSE,EA,14,AS202
202-16.171,HANDLE ASSY,EA,1,AS202
AN6-16A,BOLT,EA,0,AS202
NAS1252-616H,"WASHER,FLAT",EA,100,AS202
MS21045L6,NUTSELF LOCKING,EA,52,AS202
145--01000,BUSHING,EA,12,AS202
MS20823-40,ELBOW,EA,4,AS202
202-16.164,KNOB,EA,2,AS202
202-16.200.21,EYE TERMINAL SOCKET ASSY,EA,0,AS202
TLN900S,KNOB,EA,0,AS202
202-19.242,BUSHING,EA,0,AS202
MS 367/C,GASKET,EA,,AS202
MS367/KK,GASKET,EA,7,AS202
MS 367/PQ,GASKET,EA,9,AS202
MS24693-S94,SCREW,EA,60,AS202
MS24693-S98,SCREW,EA,120,AS202
MS21919DF11,RRIDLE,EA,10,AS202
TLN901R,KNOB,EA,2,AS202
MS24621-34,SCREW,EA,,AS202
MS20822-10-12D,RACCORD MS 20,EA,1,AS202
MS20392-2C45,PIN CLEVIS UPER,EA,10,AS202
ST-383,TOOL,EA,1,AS202
LW-12784-4-202,HOSE FUEL INJECTOR,EA,8,AS202
40S41-5-S,STUD ASSY,EA,0,AS202
202-11.330.14,SCREW HEXAGONAL HEAD,EA,0,AS202
AN4C4A,BOLT,EA,8,AS202
202-15 096 12,BOLT,EA,6,AS202
202-15.062.12,RUBBER BAND,EA,15,AS202
01199-0103,ADAPTER ADF 140,EA,0,AS202
A1635-23,"SCREW, HEXAGON HEAD",EA,52,AS202
MS28775-228,PACKING PERFORMED,EA,10,AS202
AN7-37,BOLT MACHINE,EA,0,AS202
17C21191,KEY VALVE EXHAUST,EA,4,AS202
73434,ROD ASSY,EA,2,AS202
NAS1104-8D,BOLT,EA,110,AS202
17C19386,"CAP VALVE STEM , EXHAUST",EA,2,AS202
71549,WACHER VALVE ROCKER,EA,2,AS202
202-19.644,BOLT,EA,12,AS202
LW-12272,LOCK PLATE,EA,2,AS202
40S41-5-6,STUD ASSY,EA,6,AS202
2.0485,TEE PIECE,EA,0,AS202
MS24665-361,PIN COTTER,EA,0,AS202
33-B-760,CONTROL CABLE,EA,0,AS202
VSF7403,REGULATOR,EA,1,AS202
9511269,LINING,EA,0,AS202
446642-36,STRING,EA,6,AS202
CM6283,GASKET,EA,20,AS202
416-50,FILTER OPENING,EA,0,AS202
416-50,CAP,EA,4,AS202
413-K14-LN2-60,CIRCUIT BREAKER,EA,1,AS202
J-10778-2,LORD MOUNT,EA,16,AS202
PG1S ,EXTINGUISHER 1KG,EA,1,AS202
202-18.677,PUMP BOOSTER 24V,EA,3,AS202
VV-625-2,BRAKE CYLINDER,EA,2,AS202
VV-15-625-2,BRAKE CYLINDER,EA,0,AS202
MS20426AD4-10,RIVET,LB,5,AS202
MS20426AD6-10,RIVET SOLID,LB,1,AS202
MS20426AD6-10,RIVET,LB,4,AS202
MS20470AD3-10,RIVET SOLID,LB,2,AS202
MS20470AD5-10,RIVET,LB,1,AS202
MS35790-25,WASHER,EA,60,AS202
MS24693-S27,SCREW,HD,488,AS202
202-18.648.12,WASHER,EA,20,AS202
202-15.601,ENGINE MOUNT,EA,1,AS202
MS35206-229,"SCREW,MACHINE",EA,232,AS202
AS3209-126,PACKING,EA,61,AS202
MS24693S273,SCREW MACHINE,EA,41,AS202
MS27039-0806,SCREW MACHINE,EA,1562,AS202
66610,GASKET,EA,12,AS202
4041110-1,CLAMP,EA,15,AS202
STD-632,WASHER  7/16 PLAIN,EA,24,AS202
GR32B,RETAINER,EA,10,AS202
ST3001-126,"PACKING,PREFORMED",EA,19,AS202
630286,PACKING,EA,13,AS202
51 A2 MA/WD,KNOB VOLUME,EA,33,AS202
06E19769-1 00,GASKET,EA,25,AS202
4S2RS,GROMMET PLATE,EA,21,AS202
951787,RING SEALING,EA,13,AS202
AN6230B2,PACKING,EA,9,AS202
AN6230B3,PACKING,EA,9,AS202
MS28775-224,O-RING,EA,0,AS202
MS28775-225,PACKING PREFORMED,EA,0,AS202
MS21251B5S,TURN BUCKLE BOPY,EA,2,AS202
MS20392-2C13,PIN RIVET STRAIGHT HEADED,EA,20,AS202
MS21919DG3,CLAMP,EA,82,AS202
73136,BRACKET ANGLE,EA,2,AS202
AN176-12,"BOLT, HEXAGON HEAD",EA,0,AS202
MS21919DG6,CLAMP,EA,34,AS202
MS27039-0804,"SCREW, MACHINE",EA,10,AS202
STD-860,SCREW,EA,6,AS202
MS16624-3062,WASHER LOCK,EA,10,AS202
MS20426AD5-10/LB,RINET,LB,1,AS202
MS24665-500,PIN,HD,11,AS202
MS27039C0808,SCREW,EA,261,AS202
MS27039C1-14,SCREW,EA,141,AS202
MS20392-2C9,PIN,EA,24,AS202
MS20392-1C53,PIN STL,EA,2,AS202
MS21251B2L,TURN BUKLE body,EA,0,AS202
MS35206-251,SCREW,EA,59,AS202
MS20392-2C17,PIN,EA,112,AS202
MS20392-2C35,PIN,EA,9,AS202
MS9048-106,PIN,EA,48,AS202
MS9048-140,PIN SPRING,EA,2,AS202
MS171662,PIN,EA,62,AS202
MS20392-1C45,PIN,EA,20,AS202
MS35206-241,SCREW  MACHINE,EA,21,AS202
MS35206-262,SCREW,EA,177,AS202
MS20470AD4-5,"RIVET,SOLID",LB,1,AS202
835-33,SPINNER ASSY,EA,3,AS202
202-12.257,BACK REST ASSY,EA,0,AS202
202-15.094,ENGINE COWLING UPPER,EA,0,AS202
